log_id,timestamp,ticker,contract_type,setup_quality,confluence_score,bias,price_at_scan,strike,stock_target,stop_level,expiry,entry_trigger,freshness_consumed_pct,freshness_stale,em_pct,target_em_ratio,target_adjusted,checked,checked_at,outcome_price,max_favorable_pct,max_adverse_pct,hit_target,hit_stop,entry_triggered,result
QQQ_20260630T133532.290380,2026-06-30T13:35:32.290380,QQQ,NONE,NO TRADE,42,NEUTRAL,727.37,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
SPY_20260630T133615.480086,2026-06-30T13:36:15.480086,SPY,NONE,NO TRADE,42,NEUTRAL,741.91,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
TSLA_20260630T133706.481261,2026-06-30T13:37:06.481261,TSLA,NONE,NO TRADE,42,NEUTRAL,410.39,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
AAPL_20260630T140154.327728,2026-06-30T14:01:54.327728,AAPL,NONE,NO TRADE,42,NEUTRAL,285.3,283.0,278.0,288.5,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
AMZN_20260630T140236.135505,2026-06-30T14:02:36.135505,AMZN,PUT,MODERATE,58,BEARISH,238.57,237.0,233.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,242.28,0.04,0.61,no,yes,yes,LOSS
META_20260630T140327.357879,2026-06-30T14:03:27.357879,META,PUT,HIGH CONVICTION,72,BEARISH,555.92,555.0,542.87,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,582.65,0.19,0.15,no,yes,yes,LOSS
MSFT_20260630T140419.664945,2026-06-30T14:04:19.664945,MSFT,NONE,NO TRADE,42,NEUTRAL,372.18,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
NVDA_20260630T140520.428021,2026-06-30T14:05:20.428021,NVDA,NONE,NO TRADE,38,NEUTRAL,198.08,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
QQQ_20260630T140610.184586,2026-06-30T14:06:10.184586,QQQ,NONE,NO TRADE,52,NEUTRAL,732.07,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
SPY_20260630T140657.181897,2026-06-30T14:06:57.181897,SPY,NONE,NO TRADE,42,NEUTRAL,743.98,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
TSLA_20260630T140742.548347,2026-06-30T14:07:42.548347,TSLA,NONE,NO TRADE,52,NEUTRAL,413.52,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
AAPL_20260630T143134.677665,2026-06-30T14:31:34.677665,AAPL,NONE,NO TRADE,42,NEUTRAL,286.08,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
AMZN_20260630T143221.465215,2026-06-30T14:32:21.465215,AMZN,NONE,NO TRADE,38,NEUTRAL,239.9,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
META_20260630T143304.494667,2026-06-30T14:33:04.494667,META,PUT,MODERATE,68,BEARISH,556.55,555.0,542.87,561.85,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,582.65,0.92,0.0,no,no,yes,WIN
MSFT_20260630T143351.636685,2026-06-30T14:33:51.636685,MSFT,NONE,NO TRADE,38,NEUTRAL,372.02,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
NVDA_20260630T143434.800327,2026-06-30T14:34:34.800327,NVDA,NONE,NO TRADE,38,NEUTRAL,198.15,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
QQQ_20260630T143522.493165,2026-06-30T14:35:22.493165,QQQ,NONE,NO TRADE,52,NEUTRAL,733.39,730.0,720.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
SPY_20260630T143608.632518,2026-06-30T14:36:08.632518,SPY,NONE,NO TRADE,42,NEUTRAL,745.25,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
TSLA_20260630T143655.782465,2026-06-30T14:36:55.782465,TSLA,NONE,NO TRADE,48,NEUTRAL,414.7,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AAPL_20260630T150152.724773,2026-06-30T15:01:52.724773,AAPL,NONE,NO TRADE,38,NEUTRAL,286.71,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AMZN_20260630T150237.984576,2026-06-30T15:02:37.984576,AMZN,PUT,MODERATE,62,BEARISH,237.73,237.0,230.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,242.28,0.0,0.56,no,yes,yes,LOSS
META_20260630T150321.349343,2026-06-30T15:03:21.349343,META,PUT,MODERATE,68,BEARISH,552.72,550.0,542.87,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,582.65,0.0,0.7,no,yes,yes,LOSS
MSFT_20260630T150407.906083,2026-06-30T15:04:07.906083,MSFT,PUT,LOW CONVICTION,52,BEARISH,369.35,367.0,358.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,389.62,0.04,0.36,no,yes,yes,LOSS
NVDA_20260630T150504.956941,2026-06-30T15:05:04.956941,NVDA,NONE,NO TRADE,38,NEUTRAL,197.48,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
QQQ_20260630T150552.142356,2026-06-30T15:05:52.142356,QQQ,NONE,NO TRADE,42,NEUTRAL,732.0,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
SPY_20260630T150638.695437,2026-06-30T15:06:38.695437,SPY,NONE,NO TRADE,42,NEUTRAL,744.14,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
TSLA_20260630T150726.649314,2026-06-30T15:07:26.649314,TSLA,NONE,NO TRADE,52,NEUTRAL,415.08,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AAPL_20260630T153135.471598,2026-06-30T15:31:35.471598,AAPL,NONE,NO TRADE,38,NEUTRAL,288.22,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AMZN_20260630T153217.250645,2026-06-30T15:32:17.250645,AMZN,PUT,LOW CONVICTION,52,BEARISH,238.6,238.0,233.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,242.28,0.0,0.73,no,yes,yes,LOSS
META_20260630T153258.744170,2026-06-30T15:32:58.744170,META,PUT,MODERATE,68,BEARISH,555.36,555.0,542.87,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,582.65,0.0,0.37,no,yes,yes,LOSS
MSFT_20260630T153354.398936,2026-06-30T15:33:54.398936,MSFT,NONE,NO TRADE,38,NEUTRAL,370.15,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
NVDA_20260630T153442.295278,2026-06-30T15:34:42.295278,NVDA,NONE,NO TRADE,38,NEUTRAL,198.2,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
QQQ_20260630T153526.261916,2026-06-30T15:35:26.261916,QQQ,NONE,NO TRADE,42,NEUTRAL,733.35,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
SPY_20260630T153615.365817,2026-06-30T15:36:15.365817,SPY,NONE,NO TRADE,42,NEUTRAL,745.33,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
TSLA_20260630T153706.168373,2026-06-30T15:37:06.168373,TSLA,NONE,NO TRADE,52,NEUTRAL,416.43,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AAPL_20260630T160140.881998,2026-06-30T16:01:40.881998,AAPL,NONE,NO TRADE,42,NEUTRAL,289.05,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AMZN_20260630T160225.266590,2026-06-30T16:02:25.266590,AMZN,NONE,NO TRADE,38,NEUTRAL,239.79,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
META_20260630T160307.918053,2026-06-30T16:03:07.918053,META,PUT,MODERATE,64,BEARISH,557.07,555.0,542.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,582.65,0.33,0.0,no,yes,yes,LOSS
MSFT_20260630T160353.294199,2026-06-30T16:03:53.294199,MSFT,NONE,NO TRADE,38,NEUTRAL,371.1,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
NVDA_20260630T160435.347737,2026-06-30T16:04:35.347737,NVDA,NONE,NO TRADE,42,NEUTRAL,198.06,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
QQQ_20260630T160522.926401,2026-06-30T16:05:22.926401,QQQ,NONE,NO TRADE,44,NEUTRAL,734.62,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
SPY_20260630T160608.237005,2026-06-30T16:06:08.237005,SPY,NONE,NO TRADE,52,NEUTRAL,746.05,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
TSLA_20260630T160652.785724,2026-06-30T16:06:52.785724,TSLA,NONE,NO TRADE,52,NEUTRAL,416.9,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AAPL_20260630T163139.629839,2026-06-30T16:31:39.629839,AAPL,NONE,NO TRADE,42,NEUTRAL,288.19,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AMZN_20260630T163223.340619,2026-06-30T16:32:23.340619,AMZN,NONE,NO TRADE,38,NEUTRAL,240.09,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
META_20260630T163307.949270,2026-06-30T16:33:07.949270,META,PUT,MODERATE,68,BEARISH,556.11,555.0,542.87,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,582.65,0.0,0.53,no,yes,yes,LOSS
MSFT_20260630T163353.111982,2026-06-30T16:33:53.111982,MSFT,NONE,NO TRADE,48,NEUTRAL,370.74,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
NVDA_20260630T163435.695954,2026-06-30T16:34:35.695954,NVDA,NONE,NO TRADE,38,NEUTRAL,197.68,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
QQQ_20260630T163516.136415,2026-06-30T16:35:16.136415,QQQ,NONE,NO TRADE,48,NEUTRAL,734.83,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
SPY_20260630T163602.158385,2026-06-30T16:36:02.158385,SPY,NONE,NO TRADE,42,NEUTRAL,746.28,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
TSLA_20260630T163652.624888,2026-06-30T16:36:52.624888,TSLA,NONE,NO TRADE,44,NEUTRAL,416.97,,,0.5,1DTE,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AAPL_20260630T170147.434206,2026-06-30T17:01:47.434206,AAPL,NONE,NO TRADE,42,NEUTRAL,289.34,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
AMZN_20260630T170229.207568,2026-06-30T17:02:29.207568,AMZN,NONE,NO TRADE,38,NEUTRAL,240.29,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
META_20260630T170316.336893,2026-06-30T17:03:16.336893,META,NONE,NO TRADE,38,NEUTRAL,558.82,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
MSFT_20260630T170402.245069,2026-06-30T17:04:02.245069,MSFT,NONE,NO TRADE,38,NEUTRAL,372.58,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
NVDA_20260630T170449.883213,2026-06-30T17:04:49.883213,NVDA,NONE,NO TRADE,42,NEUTRAL,198.26,,,,,,,,,,,yes,2026-07-22T15:35:32+00:00,,,,,,,NO_TRADE
QQQ_20260630T170539.757816,2026-06-30T17:05:39.757816,QQQ,NONE,NO TRADE,42,NEUTRAL,736.42,,,1.0,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
SPY_20260630T170632.609880,2026-06-30T17:06:32.609880,SPY,NONE,NO TRADE,48,NEUTRAL,746.88,,,0.3,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
TSLA_20260630T170727.617949,2026-06-30T17:07:27.617949,TSLA,NONE,NO TRADE,52,NEUTRAL,418.2,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
AAPL_20260630T173134.770814,2026-06-30T17:31:34.770814,AAPL,NONE,NO TRADE,38,NEUTRAL,288.47,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
AMZN_20260630T173218.916118,2026-06-30T17:32:18.916118,AMZN,PUT,LOW CONVICTION,52,LEANING,238.93,238.0,234.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,242.28,0.31,0.0,no,yes,yes,LOSS
META_20260630T173300.445230,2026-06-30T17:33:00.445230,META,NONE,NO TRADE,38,NEUTRAL,559.76,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
MSFT_20260630T173347.314779,2026-06-30T17:33:47.314779,MSFT,NONE,NO TRADE,38,NEUTRAL,371.14,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
NVDA_20260630T173433.881851,2026-06-30T17:34:33.881851,NVDA,NONE,NO TRADE,42,NEUTRAL,198.3,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
QQQ_20260630T173520.820486,2026-06-30T17:35:20.820486,QQQ,NONE,NO TRADE,42,NEUTRAL,735.87,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
SPY_20260630T173608.111322,2026-06-30T17:36:08.111322,SPY,NONE,NO TRADE,42,NEUTRAL,746.59,,,15.0,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
TSLA_20260630T173655.129601,2026-06-30T17:36:55.129601,TSLA,NONE,NO TRADE,44,NEUTRAL,416.84,,,423.74,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
AAPL_20260630T180142.492518,2026-06-30T18:01:42.492518,AAPL,NONE,NO TRADE,38,NEUTRAL,288.33,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
AMZN_20260630T180230.918799,2026-06-30T18:02:30.918799,AMZN,PUT,MODERATE,62,BEARISH,238.62,238.0,233.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,242.28,0.09,0.22,no,yes,yes,LOSS
META_20260630T180323.202519,2026-06-30T18:03:23.202519,META,NONE,NO TRADE,38,NEUTRAL,560.68,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
MSFT_20260630T180406.435235,2026-06-30T18:04:06.435235,MSFT,NONE,NO TRADE,42,NEUTRAL,370.92,,,0.0,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
NVDA_20260630T180451.554436,2026-06-30T18:04:51.554436,NVDA,NONE,NO TRADE,42,NEUTRAL,198.52,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
QQQ_20260630T180536.000115,2026-06-30T18:05:36.000115,QQQ,NONE,NO TRADE,42,NEUTRAL,735.9,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
SPY_20260630T180634.243920,2026-06-30T18:06:34.243920,SPY,NONE,NO TRADE,38,NEUTRAL,746.61,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
TSLA_20260630T180720.170732,2026-06-30T18:07:20.170732,TSLA,PUT,MODERATE,58,BEARISH,417.85,415.0,405.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,392.82,0.0,0.43,no,yes,yes,LOSS
AAPL_20260630T183145.720303,2026-06-30T18:31:45.720303,AAPL,PUT,LOW CONVICTION,42,BEARISH,287.92,287.0,281.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,308.22,0.43,0.0,no,yes,yes,LOSS
AMZN_20260630T183234.201584,2026-06-30T18:32:34.201584,AMZN,PUT,MODERATE,63,BEARISH,238.06,237.0,233.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,242.28,0.27,0.0,no,yes,yes,LOSS
META_20260630T183321.395990,2026-06-30T18:33:21.395990,META,NONE,NO TRADE,38,NEUTRAL,560.63,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
MSFT_20260630T183405.574611,2026-06-30T18:34:05.574611,MSFT,NONE,NO TRADE,38,NEUTRAL,370.88,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
NVDA_20260630T183459.823755,2026-06-30T18:34:59.823755,NVDA,NONE,NO TRADE,42,NEUTRAL,198.79,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
QQQ_20260630T183555.373589,2026-06-30T18:35:55.373589,QQQ,NONE,NO TRADE,52,NEUTRAL,735.87,,,745.34,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
SPY_20260630T184221.574030,2026-06-30T18:42:21.574030,SPY,CALL,MODERATE,58,BULLISH,746.81,748.0,752.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,744.84,0.34,0.59,no,no,yes,WIN
TSLA_20260630T184307.827834,2026-06-30T18:43:07.827834,TSLA,NONE,NO TRADE,48,NEUTRAL,419.48,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
AAPL_20260701T130135.897286,2026-07-01T13:01:35.897286,AAPL,NONE,NO TRADE,52,NEUTRAL,289.36,,,,,,,,,,,yes,2026-07-22T15:35:33+00:00,,,,,,,NO_TRADE
AMZN_20260701T130230.113030,2026-07-01T13:02:30.113030,AMZN,PUT,MODERATE,68,BEARISH,238.34,237.0,232.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:33+00:00,244.23,0.88,0.69,no,yes,yes,LOSS
META_20260701T130311.975785,2026-07-01T13:03:11.975785,META,CALL,MODERATE,58,BULLISH,563.29,565.0,573.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,600.27,8.37,0.0,yes,no,yes,WIN
MSFT_20260701T130400.242973,2026-07-01T13:04:00.242973,MSFT,CALL,MODERATE,58,BULLISH,373.02,375.0,379.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,386.9,2.13,0.0,yes,no,yes,WIN
NVDA_20260701T130455.158483,2026-07-01T13:04:55.158483,NVDA,NONE,NO TRADE,42,NEUTRAL,200.09,,,,,,,,,,,yes,2026-07-22T15:35:34+00:00,,,,,,,NO_TRADE
QQQ_20260701T130550.850840,2026-07-01T13:05:50.850840,QQQ,PUT,LOW CONVICTION,52,MIXED,736.4,735.0,725.62,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,722.65,1.48,0.0,yes,yes,yes,LOSS
SPY_20260701T130648.036294,2026-07-01T13:06:48.036294,SPY,PUT,MODERATE,58,BEARISH,746.77,745.0,739.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,751.31,0.59,0.0,no,yes,yes,LOSS
TSLA_20260701T130734.686531,2026-07-01T13:07:34.686531,TSLA,PUT,MODERATE,58,BEARISH,420.6,420.0,410.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,419.77,0.6,1.1,no,yes,yes,LOSS
AAPL_20260701T133138.475140,2026-07-01T13:31:38.475140,AAPL,NONE,NO TRADE,38,NEUTRAL,291.64,,,,,,,,,,,yes,2026-07-22T15:35:34+00:00,,,,,,,NO_TRADE
AMZN_20260701T133236.634561,2026-07-01T13:32:36.634561,AMZN,PUT,MODERATE,58,BEARISH,238.1,237.0,233.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,244.23,1.34,0.1,no,yes,yes,LOSS
META_20260701T133335.076796,2026-07-01T13:33:35.076796,META,PUT,LOW CONVICTION,52,NEUTRAL,602.96,600.0,582.0,610.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,600.27,0.99,0.59,no,no,yes,WIN
MSFT_20260701T133426.003376,2026-07-01T13:34:26.003376,MSFT,NONE,NO TRADE,38,NEUTRAL,378.12,,,,,,,,,,,yes,2026-07-22T15:35:34+00:00,,,,,,,NO_TRADE
NVDA_20260701T133513.480021,2026-07-01T13:35:13.480021,NVDA,PUT,HIGH CONVICTION,74,BEARISH,193.63,192.0,189.5,198.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,195.57,0.0,2.5,no,yes,yes,LOSS
QQQ_20260701T133557.236634,2026-07-01T13:35:57.236634,QQQ,PUT,HIGH CONVICTION,72,BEARISH,726.35,725.0,710.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,722.65,0.02,0.54,no,yes,yes,LOSS
SPY_20260701T133650.867606,2026-07-01T13:36:50.867606,SPY,PUT,MODERATE,68,BEARISH,742.65,740.0,733.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,751.31,0.0,0.36,no,yes,yes,LOSS
TSLA_20260701T133735.476434,2026-07-01T13:37:35.476434,TSLA,PUT,MODERATE,58,BEARISH,422.2,420.0,410.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,419.77,0.52,0.54,no,yes,yes,LOSS
AAPL_20260701T140152.385173,2026-07-01T14:01:52.385173,AAPL,NONE,NO TRADE,42,NEUTRAL,292.2,,,,,,,,,,,yes,2026-07-22T15:35:34+00:00,,,,,,,NO_TRADE
AMZN_20260701T140242.468344,2026-07-01T14:02:42.468344,AMZN,PUT,LOW CONVICTION,52,BEARISH,238.22,237.0,233.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,244.23,0.0,1.07,no,yes,yes,LOSS
META_20260701T140327.970409,2026-07-01T14:03:27.970409,META,PUT,MODERATE,62,BEARISH,610.99,610.0,592.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:34+00:00,600.27,0.1,0.54,no,yes,yes,LOSS
MSFT_20260701T140425.903292,2026-07-01T14:04:25.903292,MSFT,NONE,NO TRADE,38,NEUTRAL,377.96,,,,,,,,,,,yes,2026-07-22T15:35:35+00:00,,,,,,,NO_TRADE
NVDA_20260701T140523.220647,2026-07-01T14:05:23.220647,NVDA,PUT,MODERATE,68,BEARISH,195.16,195.0,191.5,197.66,1DTE,,,,,,,yes,2026-07-22T15:35:35+00:00,195.57,0.35,0.72,no,no,yes,WIN
QQQ_20260701T140618.032100,2026-07-01T14:06:18.032100,QQQ,PUT,MODERATE,58,BEARISH,729.6,729.0,721.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:35+00:00,722.65,0.02,0.18,no,yes,yes,LOSS
SPY_20260701T140714.456147,2026-07-01T14:07:14.456147,SPY,PUT,MODERATE,58,BEARISH,745.84,744.0,739.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:35+00:00,751.31,0.0,0.16,no,yes,yes,LOSS
TSLA_20260701T140812.353895,2026-07-01T14:08:12.353895,TSLA,PUT,MODERATE,62,BEARISH,426.25,425.0,412.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:35+00:00,419.77,0.07,0.34,no,yes,yes,LOSS
AAPL_20260701T143156.329491,2026-07-01T14:31:56.329491,AAPL,NONE,NO TRADE,32,NEUTRAL,293.17,,,,,,,,,,,yes,2026-07-22T15:35:35+00:00,,,,,,,NO_TRADE
AMZN_20260701T143236.805854,2026-07-01T14:32:36.805854,AMZN,CALL,MODERATE,58,BULLISH,240.74,242.0,244.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:35+00:00,244.23,0.8,0.0,no,no,yes,WIN
