signal_id,signal_time,ticker,contract_type,strike,expiry_date,dte_label,confluence_score,posted,stock_at_signal,premium_at_signal,entry_trigger,stock_target,stop_level,entered_on_trigger,premium_at_trigger,stock_at_trigger,hit_target,hit_stop,premium_at_exit_ts,premium_path,premium_at_close,stock_at_close,pnl_signal_hold,pnl_signal_exit,pnl_trigger_hold,pnl_trigger_exit,pnl_premium_rule,premium_rule_outcome,status,last_update
AMZN_2026-07-27T10:51:36-04:00,2026-07-27T10:51:36-04:00,AMZN,PUT,232.5,2026-07-29,1DTE,58,,232.69,2.31,232.69,230.5,,yes,2.46,232.35,no,no,,,3.3,,42.9,,34.1,,,,DONE,2026-07-27T16:05:42-04:00
META_2026-07-27T11:11:27-04:00,2026-07-27T11:11:27-04:00,META,CALL,610.0,2026-07-31,1DTE,58,,608.0,20.83,608.0,614.0,,no,,,no,no,,,17.92,,-14.0,,,,,,DONE,2026-07-27T16:05:42-04:00
MSFT_2026-07-27T11:12:14-04:00,2026-07-27T11:12:14-04:00,MSFT,CALL,392.5,2026-07-31,1DTE,62,,392.5,13.05,392.5,395.5,,yes,13.5,393.01,no,no,,,12.62,,-3.3,,-6.5,,,,DONE,2026-07-27T16:05:42-04:00
AAPL_2026-07-27T12:52:27-04:00,2026-07-27T12:52:27-04:00,AAPL,PUT,335.0,2026-07-29,1DTE,58,,336.0,2.04,336.0,334.2,,no,,,no,no,,,2.46,,20.6,,,,,,DONE,2026-07-27T16:05:42-04:00
AMZN_2026-07-28T10:32:40-04:00,2026-07-28T10:32:40-04:00,AMZN,PUT,230.0,2026-07-29,1DTE,72,,229.0,2.45,229.0,225.8,,yes,2.35,228.27,no,no,,,1.52,,-38.0,,-35.3,,,,DONE,2026-07-28T16:05:43-04:00
NVDA_2026-07-28T10:34:29-04:00,2026-07-28T10:34:29-04:00,NVDA,PUT,195.0,2026-07-29,1DTE,68,,194.4,3.27,194.4,191.9,,yes,3.7,194.13,no,no,,,1.08,,-67.0,,-70.8,,,,DONE,2026-07-28T16:05:43-04:00
QQQ_2026-07-28T10:35:34-04:00,2026-07-28T10:35:34-04:00,QQQ,PUT,670.0,2026-07-29,1DTE,72,,669.5,6.61,669.5,663.0,,no,,,no,no,,,2.6,,-60.7,,,,,,DONE,2026-07-28T16:05:43-04:00
TSLA_2026-07-28T10:36:30-04:00,2026-07-28T10:36:30-04:00,TSLA,PUT,300.0,2026-07-29,1DTE,72,,301.0,3.62,301.0,296.0,,no,,,no,no,,,1.43,,-60.5,,,,,,DONE,2026-07-28T16:05:43-04:00
META_2026-07-28T10:37:18-04:00,2026-07-28T10:37:18-04:00,META,PUT,590.0,2026-07-31,1DTE,72,,592.0,22.3,592.0,572.0,,yes,22.5,590.76,no,no,,,22.58,,1.3,,0.4,,,,DONE,2026-07-28T16:05:43-04:00
MSFT_2026-07-28T10:53:16-04:00,2026-07-28T10:53:16-04:00,MSFT,CALL,397.5,2026-07-31,1DTE,52,,397.5,13.15,397.5,401.0,,yes,12.85,397.62,no,no,,,12.07,,-8.2,,-6.1,,,,DONE,2026-07-28T16:05:43-04:00
AAPL_2026-07-28T11:01:52-04:00,2026-07-28T11:01:52-04:00,AAPL,PUT,335.0,2026-07-29,1DTE,58,,337.49,1.31,337.49,333.0,,yes,1.34,336.7,no,no,,,0.79,,-39.7,,-41.0,,,,DONE,2026-07-28T16:05:43-04:00
SPY_2026-07-28T11:26:02-04:00,2026-07-28T11:26:02-04:00,SPY,CALL,742.0,2026-07-29,1DTE,58,,741.0,1.84,741.0,744.5,,yes,1.81,741.07,no,no,,,2.6,,41.3,,43.6,,,,DONE,2026-07-28T16:05:43-04:00
TSLA_2026-07-28T12:01:50-04:00,2026-07-28T12:01:50-04:00,TSLA,CALL,312.5,2026-07-29,1DTE,58,,310.5,1.9,310.5,315.5,,no,,,no,no,,,1.13,,-40.5,,,,,,DONE,2026-07-28T16:05:43-04:00
AMZN_2026-07-28T13:41:30-04:00,2026-07-28T13:41:30-04:00,AMZN,CALL,232.5,2026-07-29,1DTE,58,,232.5,1.83,232.5,234.5,,no,,,no,no,,,1.12,,-38.8,,,,,,DONE,2026-07-28T16:05:43-04:00
AMZN_2026-07-29T10:33:02-04:00,2026-07-29T10:33:02-04:00,AMZN,PUT,227.5,2026-07-31,1DTE,74,,227.62,7.72,227.62,224.2,,yes,7.72,227.26,no,no,,,7.65,,-0.9,,-0.9,,,,DONE,2026-07-29T16:05:37-04:00
META_2026-07-29T10:34:04-04:00,2026-07-29T10:34:04-04:00,META,PUT,587.5,2026-07-31,1DTE,62,,592.05,22.88,592.05,572.0,,yes,22.55,589.63,no,no,,,25.82,,12.8,,14.5,,,,DONE,2026-07-29T16:05:37-04:00
NVDA_2026-07-29T10:36:10-04:00,2026-07-29T10:36:10-04:00,NVDA,PUT,190.0,2026-07-31,1DTE,72,,191.5,2.36,191.5,188.99,,yes,2.86,191.21,no,no,,,2.33,,-1.3,,-18.5,,,,DONE,2026-07-29T16:05:37-04:00
QQQ_2026-07-29T10:37:13-04:00,2026-07-29T10:37:13-04:00,QQQ,PUT,667.0,2026-07-30,1DTE,72,,668.0,5.51,668.0,660.0,,yes,5.87,667.87,no,no,,,6.96,,26.3,,18.6,,,,DONE,2026-07-29T16:05:37-04:00
SPY_2026-07-29T10:38:13-04:00,2026-07-29T10:38:13-04:00,SPY,PUT,735.0,2026-07-30,1DTE,62,,735.0,3.96,735.0,728.5,,yes,5.0,734.18,no,no,,,5.81,,46.7,,16.2,,,,DONE,2026-07-29T16:05:37-04:00
TSLA_2026-07-29T10:39:12-04:00,2026-07-29T10:39:12-04:00,TSLA,PUT,302.5,2026-07-31,1DTE,72,,303.0,4.2,303.0,298.5,,yes,5.38,302.81,no,no,,,7.58,,80.5,,40.9,,,,DONE,2026-07-29T16:05:37-04:00
MSFT_2026-07-29T11:43:18-04:00,2026-07-29T11:43:18-04:00,MSFT,CALL,395.0,2026-07-31,1DTE,58,,396.0,13.22,396.0,399.5,,yes,13.75,396.39,no,no,,,12.05,,-8.9,,-12.4,,,,DONE,2026-07-29T16:05:37-04:00
AAPL_2026-07-30T10:32:04-04:00,2026-07-30T10:32:04-04:00,AAPL,PUT,330.0,2026-07-31,1DTE,62,,331.53,4.65,331.53,324.0,,yes,4.83,330.85,no,no,,,4.97,,6.9,,2.9,,,,DONE,2026-07-30T16:05:41-04:00
AMZN_2026-07-30T10:33:12-04:00,2026-07-30T10:33:12-04:00,AMZN,CALL,240.0,2026-07-31,1DTE,58,,238.5,7.3,238.5,243.5,,yes,7.45,239.19,no,no,,,8.03,,10.0,,7.8,,,,DONE,2026-07-30T16:05:41-04:00
NVDA_2026-07-30T10:36:13-04:00,2026-07-30T10:36:13-04:00,NVDA,CALL,197.5,2026-07-31,1DTE,58,,197.5,1.79,197.5,200.5,,no,,,no,no,,,0.93,,-48.0,,,,,,DONE,2026-07-30T16:05:41-04:00
QQQ_2026-07-30T10:37:10-04:00,2026-07-30T10:37:10-04:00,QQQ,CALL,685.0,2026-07-31,1DTE,58,,683.5,3.67,683.5,689.0,,no,,,no,no,,,3.99,,8.7,,,,,,DONE,2026-07-30T16:05:41-04:00
MSFT_2026-07-30T11:41:37-04:00,2026-07-30T11:41:37-04:00,MSFT,PUT,447.5,2026-07-31,1DTE,58,,439.63,7.3,439.63,440.28,,no,,,no,no,,,2.31,,-68.4,,,,,,DONE,2026-07-30T16:05:41-04:00
TSLA_2026-07-30T11:42:33-04:00,2026-07-30T11:42:33-04:00,TSLA,CALL,307.5,2026-07-31,1DTE,52,,307.0,2.92,307.0,311.5,,yes,3.98,307.61,no,no,,,4.4,,50.7,,10.6,,,,DONE,2026-07-30T16:05:41-04:00
MSFT_2026-07-30T11:51:45-04:00,2026-07-30T11:51:45-04:00,MSFT,CALL,452.5,2026-07-31,1DTE,72,,451.0,3.12,451.0,458.0,,yes,4.3,454.84,no,no,,,6.8,,117.9,,58.1,,,,DONE,2026-07-30T16:05:41-04:00
META_2026-07-30T12:12:29-04:00,2026-07-30T12:12:29-04:00,META,PUT,530.0,2026-07-31,1DTE,62,,533.0,5.32,533.0,522.0,,yes,4.88,532.37,no,no,,,3.52,,-33.8,,-27.9,,,,DONE,2026-07-30T16:05:41-04:00
META_2026-07-30T13:11:46-04:00,2026-07-30T13:11:46-04:00,META,CALL,535.0,2026-07-31,1DTE,58,,534.0,5.25,534.0,544.0,,no,,,no,no,,,7.38,,40.6,,,,,,DONE,2026-07-30T16:05:41-04:00
AAPL_2026-07-31T10:31:53-04:00,2026-07-31T10:31:53-04:00,AAPL,PUT,300.0,2026-08-03,1DTE,72,,302.0,2.34,302.0,298.0,,yes,1.58,301.88,no,no,,,0.73,,-68.8,,-53.8,,,,DONE,2026-07-31T16:05:51-04:00
MSFT_2026-07-31T10:34:49-04:00,2026-07-31T10:34:49-04:00,MSFT,PUT,450.0,2026-08-03,1DTE,62,,452.0,3.58,452.0,443.45,,yes,2.98,451.11,no,no,,,0.84,,-76.5,,-71.8,,,,DONE,2026-07-31T16:05:51-04:00
NVDA_2026-07-31T10:42:36-04:00,2026-07-31T10:42:36-04:00,NVDA,CALL,197.5,2026-08-03,1DTE,58,,198.5,1.73,198.5,200.5,,yes,2.47,198.82,no,no,,,4.95,,186.1,,100.4,,,,DONE,2026-07-31T16:05:51-04:00
TSLA_2026-07-31T10:43:27-04:00,2026-07-31T10:43:27-04:00,TSLA,PUT,305.0,2026-08-03,1DTE,68,,304.8,4.58,304.8,299.5,,no,,,no,no,,,1.14,,-75.1,,,,,,DONE,2026-07-31T16:05:51-04:00
META_2026-07-31T11:33:37-04:00,2026-07-31T11:33:37-04:00,META,PUT,540.0,2026-08-03,1DTE,68,,539.03,4.03,539.03,534.0,,no,,,no,no,,,1.69,,-58.1,,,,,,DONE,2026-07-31T16:05:51-04:00
QQQ_2026-07-31T11:35:24-04:00,2026-07-31T11:35:24-04:00,QQQ,PUT,681.0,2026-08-03,1DTE,62,,679.22,3.73,679.22,676.55,,no,,,no,no,,,1.31,,-64.9,,,,,,DONE,2026-07-31T16:05:51-04:00
MSFT_2026-07-31T11:53:10-04:00,2026-07-31T11:53:10-04:00,MSFT,CALL,460.0,2026-08-03,1DTE,62,,462.0,3.7,462.0,466.5,,yes,5.42,463.74,no,no,,,5.65,,52.7,,4.2,,,,DONE,2026-07-31T16:05:51-04:00
AMZN_2026-07-31T12:01:47-04:00,2026-07-31T12:01:47-04:00,AMZN,CALL,270.0,2026-08-03,1DTE,68,,269.75,2.3,269.75,273.5,,yes,2.62,270.02,no,no,,,4.38,,90.4,,67.2,,,,DONE,2026-07-31T16:05:51-04:00
TSLA_2026-07-31T12:33:30-04:00,2026-07-31T12:33:30-04:00,TSLA,CALL,310.0,2026-08-03,1DTE,62,,309.5,3.02,309.5,314.0,,yes,3.15,309.7,no,no,,,4.85,,60.6,,54.0,,,,DONE,2026-07-31T16:05:51-04:00
META_2026-07-31T12:41:31-04:00,2026-07-31T12:41:31-04:00,META,CALL,550.0,2026-08-03,1DTE,62,,552.0,5.88,552.0,557.5,,no,,,no,no,,,6.9,,17.3,,,,,,DONE,2026-07-31T16:05:51-04:00
QQQ_2026-07-31T12:42:13-04:00,2026-07-31T12:42:13-04:00,QQQ,CALL,688.0,2026-08-03,1DTE,62,,686.82,3.67,686.82,691.0,,yes,3.67,686.88,no,no,,,5.55,,51.2,,51.2,,,,DONE,2026-07-31T16:05:51-04:00
SPY_2026-07-31T12:52:21-04:00,2026-07-31T12:52:21-04:00,SPY,CALL,745.0,2026-08-03,1DTE,62,,745.5,2.43,745.5,747.5,,yes,2.59,745.59,no,no,,,4.75,,95.5,,83.4,,,,DONE,2026-07-31T16:05:51-04:00
AAPL_2026-08-03T10:31:52-04:00,2026-08-03T10:31:52-04:00,AAPL,PUT,305.0,2026-08-05,1DTE,68,,304.99,2.48,304.99,302.0,,yes,2.85,304.04,no,no,,"[[""10:38"", 2.91], [""10:42"", 3.05], [""10:52"", 2.84], [""11:02"", 2.94], [""11:21"", 3.42], [""11:33"", 2.85], [""11:43"", 3.6], [""11:52"", 3.6], [""12:01"", 4.33], [""12:11"", 4.1], [""12:33"", 3.55], [""12:41"", 2.74], [""12:52"", 2.58], [""13:03"", 2.64], [""13:31"", 2.31], [""13:43"", 2.09], [""13:51"", 2.35]]",3.55,,43.1,,24.6,,,,DONE,2026-08-03T16:05:39-04:00
AMZN_2026-08-03T10:32:54-04:00,2026-08-03T10:32:54-04:00,AMZN,CALL,287.5,2026-08-05,1DTE,58,,287.14,2.37,287.14,290.5,,no,,,no,no,,"[[""10:38"", 2.59], [""10:42"", 2.72], [""10:52"", 2.63], [""11:02"", 2.87], [""11:21"", 2.69], [""11:33"", 2.42], [""11:43"", 3.02], [""11:52"", 2.96], [""12:01"", 2.88], [""12:11"", 2.86], [""12:33"", 2.27], [""12:41"", 2.25], [""12:52"", 2.37], [""13:03"", 2.65], [""13:31"", 2.05], [""13:43"", 2.12], [""13:51"", 2.06]]",2.58,,8.9,,,,,,DONE,2026-08-03T16:05:39-04:00
NVDA_2026-08-03T10:35:47-04:00,2026-08-03T10:35:47-04:00,NVDA,CALL,205.0,2026-08-05,1DTE,58,,205.7,2.88,205.7,208.5,,yes,3.08,206.22,yes,no,4.25,"[[""10:38"", 3.33], [""10:42"", 3.08], [""10:52"", 3.38], [""11:02"", 3.52], [""11:21"", 3.95], [""11:33"", 4.07], [""11:43"", 4.05], [""11:52"", 3.85], [""12:01"", 3.83], [""12:11"", 4.07], [""12:33"", 4.2], [""12:41"", 4.12], [""12:52"", 3.83], [""13:03"", 4.07], [""13:31"", 4.25], [""13:43"", 5.03], [""13:51"", 5.05]]",3.95,,37.2,47.6,28.2,38.0,,,DONE,2026-08-03T16:05:39-04:00
QQQ_2026-08-03T10:36:43-04:00,2026-08-03T10:36:43-04:00,QQQ,CALL,697.0,2026-08-04,1DTE,58,,697.01,2.17,697.01,699.5,,yes,3.08,697.4,yes,no,4.7,"[[""10:38"", 2.31], [""10:42"", 2.38], [""10:52"", 3.03], [""11:02"", 3.08], [""11:21"", 3.48], [""11:33"", 3.62], [""11:43"", 3.26], [""11:52"", 3.33], [""12:01"", 3.79], [""12:11"", 3.85], [""12:33"", 4.34], [""12:41"", 4.25], [""12:52"", 4.2], [""13:03"", 4.27], [""13:31"", 4.7], [""13:43"", 5.04], [""13:51"", 5.19]]",5.78,,166.4,116.6,87.7,52.6,,,DONE,2026-08-03T16:05:39-04:00
TSLA_2026-08-03T10:38:49-04:00,2026-08-03T10:38:49-04:00,TSLA,CALL,320.0,2026-08-05,1DTE,58,,319.5,4.6,319.5,323.5,,yes,5.05,320.16,yes,no,7.55,"[[""10:38"", 4.6], [""10:42"", 4.95], [""10:52"", 5.05], [""11:02"", 5.82], [""11:21"", 6.62], [""11:33"", 7.55], [""11:43"", 8.03], [""11:52"", 7.65], [""12:01"", 7.2], [""12:11"", 7.5], [""12:33"", 7.53], [""12:41"", 6.85], [""12:52"", 6.65], [""13:03"", 5.75], [""13:31"", 6.3], [""13:43"", 6.6], [""13:51"", 6.83]]",6.5,,41.3,64.1,28.7,49.5,,,DONE,2026-08-03T16:05:39-04:00
MSFT_2026-08-03T10:51:39-04:00,2026-08-03T10:51:39-04:00,MSFT,PUT,480.0,2026-08-05,1DTE,58,,478.15,3.78,478.15,476.0,,no,,,no,no,,"[[""10:52"", 3.85], [""11:02"", 3.45], [""11:21"", 4.57], [""11:33"", 5.03], [""11:43"", 3.83], [""11:52"", 3.2], [""12:01"", 3.17], [""12:11"", 3.35], [""12:33"", 3.3], [""12:41"", 3.09], [""12:52"", 3.03], [""13:03"", 2.85], [""13:31"", 2.84], [""13:43"", 2.52], [""13:51"", 2.79]]",2.53,,-33.1,,,,,,DONE,2026-08-03T16:05:39-04:00
META_2026-08-03T11:02:02-04:00,2026-08-03T11:02:02-04:00,META,CALL,590.0,2026-08-05,1DTE,58,,589.5,8.27,589.5,597.0,,yes,9.5,592.3,no,no,,"[[""11:03"", 8.27], [""11:21"", 9.5], [""11:33"", 9.95], [""11:43"", 11.68], [""11:52"", 11.35], [""12:01"", 10.62], [""12:11"", 10.85], [""12:33"", 11.35], [""12:41"", 12.28], [""12:52"", 12.7], [""13:03"", 11.48], [""13:31"", 10.73], [""13:43"", 10.9], [""13:51"", 9.68]]",9.5,,14.9,,0.0,,,,DONE,2026-08-03T16:05:39-04:00
MSFT_2026-08-03T11:33:35-04:00,2026-08-03T11:33:35-04:00,MSFT,CALL,490.0,2026-08-05,1DTE,58,,488.0,2.94,488.0,492.5,,yes,4.85,488.49,no,no,,"[[""11:33"", 2.94], [""11:43"", 3.83], [""11:52"", 4.85], [""12:01"", 4.88], [""12:11"", 4.35], [""12:33"", 4.47], [""12:41"", 4.75], [""12:52"", 4.85], [""13:03"", 5.4], [""13:31"", 5.03], [""13:43"", 5.82], [""13:51"", 5.45]]",5.0,,70.1,,3.1,,,,DONE,2026-08-03T16:05:39-04:00
SPY_2026-08-03T11:43:16-04:00,2026-08-03T11:43:16-04:00,SPY,CALL,757.0,2026-08-04,1DTE,62,,756.25,0.92,756.25,758.0,,yes,1.17,756.51,no,no,,"[[""11:43"", 0.92], [""11:52"", 0.94], [""12:01"", 1.17], [""12:11"", 1.15], [""12:33"", 1.17], [""12:41"", 1.22], [""12:52"", 1.27], [""13:03"", 1.27], [""13:31"", 1.4], [""13:43"", 1.63], [""13:51"", 1.85]]",2.41,,162.0,,106.0,,,,DONE,2026-08-03T16:05:39-04:00
AMZN_2026-08-03T13:51:47-04:00,2026-08-03T13:51:47-04:00,AMZN,PUT,282.5,2026-08-05,1DTE,58,,284.0,2.59,284.0,280.42,,yes,2.58,283.64,no,no,,"[[""13:51"", 2.58]]",2.12,,-18.1,,-17.8,,,,DONE,2026-08-03T16:05:39-04:00
AMZN_2026-08-04T10:31:44-04:00,2026-08-04T10:31:44-04:00,AMZN,PUT,277.5,2026-08-05,1DTE,72,,277.5,1.79,277.5,273.5,,yes,2.41,276.9,no,no,,"[[""10:38"", 1.91], [""10:43"", 2.25], [""10:52"", 2.41], [""11:31"", 3.01], [""11:44"", 2.56], [""11:52"", 2.58], [""12:01"", 2.71], [""12:11"", 2.67], [""12:31"", 2.31], [""12:41"", 2.35], [""12:53"", 2.23], [""13:01"", 1.94], [""13:12"", 2.17], [""13:21"", 2.01], [""13:31"", 2.09], [""13:41"", 2.0], [""13:51"", 2.15]]",2.35,,31.3,,-2.5,,,,DONE,2026-08-04T16:05:49-04:00
NVDA_2026-08-04T10:34:41-04:00,2026-08-04T10:34:41-04:00,NVDA,CALL,210.0,2026-08-05,1DTE,62,,210.5,2.21,210.5,213.5,,yes,2.2,210.62,no,no,,"[[""10:38"", 2.12], [""10:43"", 2.42], [""10:52"", 2.45], [""11:31"", 2.24], [""11:44"", 2.17], [""11:52"", 2.2], [""12:01"", 2.63], [""12:11"", 2.67], [""12:31"", 2.5], [""12:41"", 2.44], [""12:53"", 2.19], [""13:01"", 2.38], [""13:12"", 2.49], [""13:21"", 2.74], [""13:31"", 2.84], [""13:41"", 2.95], [""13:51"", 2.81]]",3.62,,63.8,,64.5,,,,DONE,2026-08-04T16:05:49-04:00
QQQ_2026-08-04T10:35:40-04:00,2026-08-04T10:35:40-04:00,QQQ,CALL,718.0,2026-08-05,1DTE,62,,715.73,2.98,715.73,720.5,,yes,4.13,717.89,yes,no,5.68,"[[""10:38"", 2.56], [""10:43"", 3.17], [""10:52"", 2.83], [""11:31"", 4.13], [""11:44"", 4.42], [""11:52"", 4.33], [""12:01"", 4.93], [""12:11"", 4.98], [""12:31"", 4.96], [""12:41"", 5.27], [""12:53"", 5.27], [""13:01"", 5.68], [""13:12"", 5.79], [""13:21"", 6.4], [""13:31"", 6.43], [""13:41"", 6.43], [""13:51"", 6.43]]",6.43,,115.8,90.6,55.7,37.5,,,DONE,2026-08-04T16:05:49-04:00
AAPL_2026-08-04T10:37:40-04:00,2026-08-04T10:37:40-04:00,AAPL,CALL,307.5,2026-08-05,1DTE,62,,307.0,2.21,307.0,310.0,,yes,1.96,308.2,no,no,,"[[""10:38"", 2.21], [""10:43"", 2.21], [""10:52"", 1.92], [""11:31"", 1.79], [""11:44"", 1.56], [""11:52"", 1.86], [""12:01"", 1.73], [""12:11"", 1.79], [""12:31"", 1.73], [""12:41"", 1.82], [""12:53"", 1.96], [""13:01"", 2.26], [""13:12"", 2.69], [""13:21"", 3.48], [""13:31"", 3.8], [""13:41"", 3.25], [""13:51"", 3.02]]",3.62,,63.8,,84.7,,,,DONE,2026-08-04T16:05:49-04:00
TSLA_2026-08-04T10:38:40-04:00,2026-08-04T10:38:40-04:00,TSLA,CALL,325.0,2026-08-05,1DTE,57,,323.45,3.67,323.45,330.0,,yes,3.67,323.49,no,no,,"[[""10:38"", 3.67], [""10:43"", 3.88], [""10:52"", 3.55], [""11:31"", 4.22], [""11:44"", 4.07], [""11:52"", 3.67], [""12:01"", 3.95], [""12:11"", 4.28], [""12:31"", 4.4], [""12:41"", 4.57], [""12:53"", 4.07], [""13:01"", 4.25], [""13:12"", 4.3], [""13:21"", 4.65], [""13:31"", 4.85], [""13:41"", 5.38], [""13:51"", 5.25]]",5.78,,57.5,,57.5,,,,DONE,2026-08-04T16:05:49-04:00
META_2026-08-04T10:42:24-04:00,2026-08-04T10:42:24-04:00,META,PUT,580.0,2026-08-05,1DTE,58,,583.5,4.95,583.5,572.5,,yes,4.72,582.41,no,no,,"[[""10:43"", 4.72], [""10:52"", 4.75], [""11:31"", 5.15], [""11:44"", 4.83], [""11:52"", 4.43], [""12:01"", 4.8], [""12:11"", 4.35], [""12:31"", 4.7], [""12:41"", 5.03], [""12:53"", 4.95], [""13:01"", 6.28], [""13:12"", 5.6], [""13:21"", 4.0], [""13:31"", 3.65], [""13:41"", 3.27], [""13:51"", 2.81]]",2.17,,-56.2,,-54.0,,,,DONE,2026-08-04T16:05:49-04:00
MSFT_2026-08-04T10:43:22-04:00,2026-08-04T10:43:22-04:00,MSFT,CALL,500.0,2026-08-05,1DTE,58,,500.0,2.59,500.0,502.5,,no,,,no,no,,"[[""10:43"", 2.59], [""10:52"", 3.12], [""11:31"", 4.2], [""11:44"", 4.05], [""11:52"", 3.38], [""12:01"", 3.5], [""12:11"", 3.4], [""12:31"", 3.2], [""12:41"", 2.94], [""12:53"", 2.77], [""13:01"", 2.54], [""13:12"", 2.37], [""13:21"", 2.45], [""13:31"", 2.58], [""13:41"", 2.44], [""13:51"", 2.29]]",2.5,,-3.5,,,,,,DONE,2026-08-04T16:05:49-04:00
SPY_2026-08-04T11:43:23-04:00,2026-08-04T11:43:23-04:00,SPY,CALL,769.0,2026-08-05,1DTE,68,,768.1,1.52,768.1,770.5,,yes,1.54,768.84,yes,no,1.91,"[[""11:44"", 1.58], [""11:52"", 1.54], [""12:01"", 1.86], [""12:11"", 1.91], [""12:31"", 1.91], [""12:41"", 1.91], [""12:53"", 1.91], [""13:01"", 1.91], [""13:12"", 1.91], [""13:21"", 1.91], [""13:31"", 1.91], [""13:41"", 1.91], [""13:51"", 1.91]]",1.91,,25.7,25.7,24.0,24.0,,,DONE,2026-08-04T16:05:49-04:00
META_2026-08-04T13:31:39-04:00,2026-08-04T13:31:39-04:00,META,CALL,590.0,2026-08-05,1DTE,68,,585.0,4.9,585.0,595.5,,yes,4.9,588.21,no,no,,"[[""13:31"", 4.9], [""13:41"", 5.17], [""13:51"", 5.78]]",5.78,,18.0,,18.0,,,,DONE,2026-08-04T16:05:49-04:00
AAPL_2026-08-05T10:32:01-04:00,2026-08-05T10:32:01-04:00,AAPL,PUT,305.0,2026-08-07,1DTE,76,,306.45,1.68,306.45,303.5,,no,,,no,no,,"[[""10:39"", 1.56], [""10:41"", 1.77], [""10:51"", 2.13], [""11:01"", 1.42], [""11:13"", 0.96], [""11:23"", 0.89], [""11:32"", 1.17], [""11:44"", 1.62], [""11:51"", 1.5], [""12:12"", 1.56], [""12:22"", 1.43], [""12:33"", 1.36], [""12:53"", 1.38], [""13:01"", 1.23], [""13:21"", 1.25], [""13:42"", 1.06], [""13:51"", 0.97]]",0.99,,-41.1,,,,,,DONE,2026-08-05T16:05:40-04:00
